,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5461,23B168915,46.6,60.5,47.78,0.993300020694733,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.066,0.869,0.0059,0.0012,0.017,0.11,0.041,0.032,0.014,0.0273,0.002,0.0017,0.0091,0.001,0.005,2001.704,54.23682,1812.0,1536.0,1065.0
6466,23B172068,44.6,59.3,28.15,0.994099974632263,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.06,0.835,0.0044,0.0045,0.023,0.146,0.055,0.027,0.012,0.0319,0.003,0.0022,0.0084,0.001,0.005,1980.914,54.22376,1794.0,1535.0,1097.0
6482,23B172109,44.8,62.3,39.95,0.993799984455109,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.059,0.879,0.0047,0.0035,0.021,0.135,0.046,0.04,0.015,0.033,0.002,0.002,0.0092,0.001,0.005,2096.546,54.17857,1902.0,1585.0,1081.0
6483,23B172110,46.3,60.7,38.35,0.744099974632263,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.059,0.879,0.0047,0.0035,0.021,0.135,0.046,0.04,0.015,0.033,0.002,0.002,0.0092,0.001,0.005,2101.424,54.17367,1871.0,1545.0,1011.0
0,23B100002,51.4,66.6,29.66,0.369100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.058,0.904,0.0087,0.001,0.023,0.102,0.036,0.06,0.012,0.0288,0.002,0.0035,0.0088,0.0,0.005,2142.284,54.16466,1907.0,1551.0,1007.0
1,23B100002,52.5,65.8,28.58,0.369100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.904,0.0087,0.001,0.023,0.102,0.036,0.06,0.012,0.0288,0.002,0.0035,0.0088,0.0,0.005,2142.284,54.16466,1907.0,1551.0,1007.0
2,23B100005,50.8,64.0,32.15,0.493999987840652,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.909,0.0108,0.0012,0.019,0.099,0.037,0.061,0.009,0.0222,0.003,0.0017,0.0084,0.0,0.005,2107.49,54.1893,1855.0,1545.0,1045.0
3,23B100010,48.2,62.7,43.35,0.493999987840652,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.909,0.0108,0.0012,0.019,0.099,0.037,0.061,0.009,0.0222,0.003,0.0017,0.0084,0.0,0.005,2078.852,54.19266,1842.0,1542.0,1020.0
46,23B100135,48.3,65.6,30.73,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2089.886,49.25884,1913.0,1554.0,1050.0
47,23B100135,52.75,66.25,27.759999999999998,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2089.886,49.25884,1913.0,1554.0,1050.0
48,23B100138,54.1,66.0,30.56,0.181099995970726,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2130.044,44.33091,1884.0,1549.0,1014.0
